;ds;top_level;middle_level;bottom_level;y
8455;2011-11-01;Brasil;Santa Catarina;Marítima;80.0
8456;2011-11-01;Brasil;Santa Catarina;Terrestre;1230.0
8457;2011-12-01;Brasil;Santa Catarina;Aérea;11963.0
8458;2011-12-01;Brasil;Santa Catarina;Marítima;3300.0
8459;2011-12-01;Brasil;Santa Catarina;Terrestre;5326.0
8460;2011-01-01;Brasil;São Paulo;Aérea;161491.0
8461;2011-01-01;Brasil;São Paulo;Marítima;527.0
8462;2011-02-01;Brasil;São Paulo;Aérea;194275.0
8463;2011-02-01;Brasil;São Paulo;Marítima;12.0
8464;2011-03-01;Brasil;São Paulo;Aérea;193463.0
8465;2011-03-01;Brasil;São Paulo;Marítima;253.0
8466;2011-04-01;Brasil;São Paulo;Aérea;176648.0
8467;2011-04-01;Brasil;São Paulo;Marítima;10.0
8468;2011-05-01;Brasil;São Paulo;Aérea;174081.0
8469;2011-05-01;Brasil;São Paulo;Marítima;4.0
8470;2011-06-01;Brasil;São Paulo;Aérea;152401.0
8471;2011-06-01;Brasil;São Paulo;Marítima;0.0
8472;2011-07-01;Brasil;São Paulo;Aérea;153105.0
8473;2011-07-01;Brasil;São Paulo;Marítima;5.0
8474;2011-08-01;Brasil;São Paulo;Aérea;179055.0
8475;2011-08-01;Brasil;São Paulo;Marítima;3.0
8476;2011-09-01;Brasil;São Paulo;Aérea;153626.0
8477;2011-09-01;Brasil;São Paulo;Marítima;7.0
8478;2011-10-01;Brasil;São Paulo;Aérea;172585.0
8479;2011-10-01;Brasil;São Paulo;Marítima;10.0
8480;2011-11-01;Brasil;São Paulo;Aérea;198700.0
8481;2011-11-01;Brasil;São Paulo;Marítima;3.0
8482;2011-12-01;Brasil;São Paulo;Aérea;184587.0
8483;2011-12-01;Brasil;São Paulo;Marítima;3.0
8484;2012-01-01;Brasil;Amazonas;Aérea;3377.0
8485;2012-01-01;Brasil;Amazonas;Terrestre;340.0
8486;2012-02-01;Brasil;Amazonas;Aérea;3262.0
8487;2012-02-01;Brasil;Amazonas;Terrestre;786.0
8488;2012-03-01;Brasil;Amazonas;Aérea;3191.0
